#{"t_start": 1769326473.058165, "env_id": "FlappyBird-v0"}
r,l,t
-7.5,50,0.767724
-7.5,50,0.881423
-7.5,50,1.076603
-8.1,50,1.300293
-8.7,50,1.52942
-7.5,50,1.753499
-8.7,50,1.982002
-6.9,50,2.196469
-7.5,50,2.417942
-8.1,50,2.646052
-3.9,50,2.869757
-7.5,50,3.086428
-7.5,50,3.305441
-7.5,50,3.53235
-7.5,50,3.751645
-5.7,50,3.972868
-5.7,50,4.184306
-6.3,50,4.407331
-3.9,50,4.627182
-7.5,50,4.852128
-8.1,50,5.078399
-7.5,50,5.297557
-8.7,50,5.520883
-3.9,50,5.7344
-7.5,50,5.956621
-5.1,50,6.191305
-5.1,50,6.411711
-8.1,50,6.630847
-5.1,50,6.872142
-3.3,50,7.104768
-6.3,50,7.356935
-8.7,50,7.575101
-5.1,50,7.807088
-3.9,50,8.025198
-5.7,50,8.261454
-2.7,50,8.483613
-8.7,50,8.702488
-5.1,50,8.925248
-9.3,50,9.147916
-3.3,50,9.46436
-4.5,50,9.684585
-4.5,50,9.903621
-0.9,50,10.12799
-8.1,50,10.353249
-2.1,50,10.583076
-1.9,58,10.843385
-0.9,50,11.06629
-0.9,50,11.300092
-8.7,50,11.533432
-0.9,50,11.752424
-0.9,50,11.978389
-8.1,50,12.201999
-0.9,50,12.434376
-0.9,50,12.663819
-2.7,50,12.887311
-0.9,50,13.115223
-1.5,50,13.351209
-6.9,50,13.585925
-0.9,50,13.819942
-0.9,50,14.068887
-0.9,50,14.304219
-0.9,50,14.533793
-0.9,50,14.757524
-0.9,50,14.988143
0.8,31,15.138475
-2.5,58,15.411683
-0.9,50,15.64297
-0.9,50,15.881933
-0.9,50,16.133386
-0.9,50,16.378069
-0.5,54,16.635732
0.8,31,16.788239
0.8,31,16.938682
0.8,31,17.089147
-2.7,50,17.340357
0.8,31,17.488078
0.8,31,17.645658
-0.9,50,17.883519
-1.1,54,18.138389
-3.3,56,18.418334
0.8,31,18.571627
-2.7,50,18.812062
-1.0,55,19.068469
0.8,31,19.22347
0.8,31,19.385646
-1.0,55,19.65214
-0.9,50,19.899079
-0.3,50,20.14836
-2.7,50,20.394518
0.8,31,20.549056
-0.9,50,20.79279
-2.7,50,21.027209
-2.7,50,21.262034
0.3,50,21.504869
0.8,31,21.659915
0.8,31,21.81145
-1.5,50,22.050805
-0.9,50,22.291704
0.8,31,22.444561
-2.7,50,22.684129
-2.7,50,22.922606
